Entity,Code,Day,total_vaccinations
Afghanistan,AFG,2021-02-22,0
Afghanistan,AFG,2021-02-28,8200
Afghanistan,AFG,2021-03-16,54000
Afghanistan,AFG,2021-04-07,120000
Afghanistan,AFG,2021-04-22,240000
Afghanistan,AFG,2021-05-11,504502
Afghanistan,AFG,2021-05-20,547901
Afghanistan,AFG,2021-05-24,573277
Afghanistan,AFG,2021-05-26,590454
Afghanistan,AFG,2021-05-27,593313
Afghanistan,AFG,2021-05-30,600152
Afghanistan,AFG,2021-06-02,626290
Afghanistan,AFG,2021-06-03,630305
Afghanistan,AFG,2021-06-08,641295
Afghanistan,AFG,2021-06-14,662003
Afghanistan,AFG,2021-06-22,765890
Afghanistan,AFG,2021-06-27,835694
Afghanistan,AFG,2021-06-30,886854
Afghanistan,AFG,2021-07-05,915671
Afghanistan,AFG,2021-07-07,934463
Afghanistan,AFG,2021-07-11,962093
Afghanistan,AFG,2021-07-14,1024168
Afghanistan,AFG,2021-07-18,1094257
Afghanistan,AFG,2021-07-24,1171064
Afghanistan,AFG,2021-08-20,1201286
Afghanistan,AFG,2021-08-31,1979652
Afghanistan,AFG,2021-09-30,2369625
Afghanistan,AFG,2021-11-14,4018197
Afghanistan,AFG,2021-11-20,5116767
Africa,,2021-01-09,0
Africa,,2021-01-13,2000
Africa,,2021-01-15,4000
Africa,,2021-01-16,7000
Africa,,2021-01-19,10976
Africa,,2021-01-20,13163
Africa,,2021-01-22,16890
Africa,,2021-01-23,18353
Africa,,2021-01-24,18353
Africa,,2021-01-25,19889
Africa,,2021-01-26,22712
Africa,,2021-01-27,25587
Africa,,2021-01-28,28779
Africa,,2021-01-29,30861
Africa,,2021-01-30,122206
Africa,,2021-01-31,158206
Africa,,2021-02-01,236712
Africa,,2021-02-02,295127
Africa,,2021-02-03,347149
Africa,,2021-02-04,390474
Africa,,2021-02-05,446986
Africa,,2021-02-06,504800
Africa,,2021-02-08,593502
Africa,,2021-02-09,661263
Africa,,2021-02-10,795836
Africa,,2021-02-11,908796
Africa,,2021-02-12,1165581
Africa,,2021-02-13,1446178
Africa,,2021-02-15,1766999
Africa,,2021-02-16,1965819
Africa,,2021-02-17,2147659
Africa,,2021-02-18,2304003
Africa,,2021-02-19,2514038
Africa,,2021-02-20,2616970
Africa,,2021-02-21,2623735
Africa,,2021-02-22,2745898
Africa,,2021-02-23,2854362
Africa,,2021-02-24,3151789
Africa,,2021-02-25,3435126
Africa,,2021-02-26,3677781
Africa,,2021-02-27,3866524
Africa,,2021-02-28,3874251
Africa,,2021-03-01,4092105
Africa,,2021-03-02,4253030
Africa,,2021-03-03,4424425
Africa,,2021-03-04,4570416
Africa,,2021-03-05,4808377
Africa,,2021-03-06,5013434
Africa,,2021-03-07,5054444
Africa,,2021-03-08,5402720
Africa,,2021-03-09,5543143
